Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
04/25/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",2177,1178,4025,1915,1521,2409,4478,3331,6019,2132,1604,2834,1247,639,2432,452,306,667
04/26/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",2220,1559,3161,1135,962,1339,3292,2233,4853,1903,1537,2356,2272,1455,3549,482,326,713
04/27/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",635,396,1018,417,398,436,910,506,1636,877,552,1395,504,370,686,460,321,660
04/28/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",714,458,1113,506,354,723,974,690,1376,907,616,1336,490,388,619,402,302,535
04/29/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",496,364,676,382,302,484,550,419,721,487,355,667,515,382,694,469,313,702
04/30/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",469,347,632,365,294,454,466,350,619,463,351,612,500,363,690,409,279,601
05/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",554,326,940,1573,1383,1789,3116,2459,3949,1425,981,2069,945,452,1974,546,324,920
05/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",2188,1476,3243,,,,2997,2246,3998,2112,1605,2779,1784,997,3193,497,319,775
05/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1668,1049,2653,1445,1200,1740,3025,2151,4255,1501,1123,2006,1457,803,2645,436,295,643
05/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",434,301,624,,,,3541,2627,4772,1654,1256,2180,1691,1051,2721,416,299,577
05/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",788,493,1259,411,337,500,839,569,1238,1101,832,1457,465,365,593,426,302,600
05/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",553,393,778,365,275,484,598,485,738,527,391,711,630,424,934,353,287,434
05/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",521,322,845,,,,1402,1089,1805,1021,769,1356,661,424,1030,505,318,803
05/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",522,327,836,1119,952,1314,2191,1723,2787,1575,1312,1892,835,499,1396,483,316,738
05/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1872,1155,3035,1061,958,1174,2847,1876,4320,1716,1355,2174,1379,727,2616,547,364,824
05/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",471,317,699,1501,1292,1743,1933,1475,2534,1511,1256,1818,849,513,1406,441,311,624
05/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",2225,1334,3709,1228,1019,1479,5110,4099,6371,2063,1572,2705,1599,904,2829,460,307,689
05/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1046,602,1817,384,341,433,1672,1355,2064,1315,938,1843,677,427,1074,437,306,623
05/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",420,290,609,349,304,399,855,688,1064,617,450,846,611,443,844,427,291,627
05/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1008,516,1967,1042,851,1276,3418,2693,4339,849,525,1373,752,400,1413,510,311,834
05/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",509,318,817,,,,2589,1685,3976,859,583,1267,1030,551,1922,492,312,777
05/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1733,907,3311,1848,1449,2357,3835,2779,5294,1515,1039,2209,1268,562,2862,435,274,690
05/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",489,311,767,1234,942,1617,2275,1693,3057,1193,932,1529,1091,567,2098,445,303,654
05/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",490,318,754,1481,1115,1969,3900,3114,4883,1583,1197,2095,1155,689,1936,448,309,650
05/19/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",717,467,1101,585,436,784,875,584,1311,834,629,1105,555,361,853,445,317,625
05/20/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",646,430,970,382,304,480,639,503,811,628,452,874,792,497,1263,396,279,562
05/21/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",963,536,1731,1216,883,1676,1776,1013,3114,709,517,971,880,437,1771,509,316,819
05/22/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1239,671,2288,1019,826,1257,2150,1698,2723,1444,1205,1729,652,399,1066,492,317,764
05/23/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",515,327,810,1566,1231,1991,2744,2279,3304,1278,977,1672,1045,548,1992,477,318,715
05/24/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",494,324,754,893,760,1048,2446,1995,2999,1495,1104,2024,1216,606,2443,473,317,706
05/25/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",540,331,878,1328,1144,1541,3907,3003,5083,1374,941,2006,2153,1250,3708,499,319,781
05/26/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",935,599,1460,657,512,843,1437,1120,1843,1069,795,1439,592,437,800,446,301,659
05/27/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",390,288,528,375,299,471,643,495,836,650,532,796,564,422,754,391,287,532
05/28/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",517,322,831,1407,1260,1572,1667,1345,2065,877,599,1285,532,360,787,485,312,752
05/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1769,1123,2786,1090,988,1203,3225,2186,4756,1392,1122,1729,1951,977,3898,443,296,661
05/30/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1404,754,2616,1040,862,1255,2291,1930,2719,1543,1244,1915,820,441,1523,437,294,648
05/31/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1472,756,2869,1805,1320,2469,2721,1897,3904,1338,799,2243,935,470,1859,477,322,704
06/01/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",1474,860,2526,1111,951,1300,3491,2442,4991,1130,723,1764,1950,1330,2858,430,312,593
06/02/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",428,310,591,372,340,407,1637,1300,2062,944,669,1332,494,367,664,434,310,608
06/03/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",586,397,865,346,309,387,597,440,811,680,454,1021,514,374,706,396,286,548
06/04/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Buenconsejo Street, Makati, Metro Manila",520,319,848,799,574,1111,888,504,1565,523,384,714,621,374,1029,497,310,796
