Date,Day,Origin Display Name,,,,,,,,,,,,,,,,,,,
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
05/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1632,756,3523,,,,,,,1448,739,2838,1216,610,2424,,,
05/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,3210,1645,6263,1011,734,1394,919,517,1632,,,
05/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1372,758,2482,,,,,,,1154,757,1760,,,,,,
05/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1509,938,2427,,,,,,,1332,1071,1656,,,,,,
05/19/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1437,903,2287,,,,,,,,,,1219,839,1772,,,
05/20/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,1315,985,1756,1021,797,1308,764,520,1121,,,
05/21/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",987,681,1431,,,,,,,919,653,1293,1047,695,1575,,,
05/22/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1031,591,1799,,,,,,,826,636,1071,,,,,,
05/23/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1289,761,2183,,,,,,,,,,785,575,1071,,,
05/24/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,1456,1134,1870,1269,779,2066,,,
05/25/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",2173,1227,3848,,,,,,,,,,,,,,,
05/26/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1783,1141,2785,,,,,,,1789,1340,2388,1124,978,1291,,,
05/27/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,1299,982,1719,750,619,910,,,
05/28/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",964,748,1243,,,,,,,,,,,,,,,
05/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1116,724,1719,,,,,,,1018,733,1414,,,,,,
05/30/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1794,1386,2323,,,,,,,1560,1320,1843,1820,1312,2526,,,
05/31/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,1630,1357,1960,,,,,,
