Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/04/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",715,507,1007,1114,699,1774,768,431,1367,624,416,937,576,402,826,682,490,948
06/05/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",695,400,1208,,,,1614,1156,2252,909,612,1350,941,443,1997,588,358,966
06/06/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1329,798,2215,902,742,1095,1898,1331,2706,1265,886,1808,863,454,1639,823,432,1566
06/07/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",860,575,1286,929,670,1288,1038,783,1376,884,641,1218,614,398,948,613,522,720
06/08/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",674,413,1100,,,,2282,1679,3103,1229,854,1768,913,506,1647,629,393,1006
06/09/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",729,466,1140,,,,732,454,1178,776,531,1132,664,400,1104,351,254,485
06/10/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",366,262,513,,,,497,356,694,637,439,923,567,367,873,356,253,501
06/11/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",489,356,671,467,292,746,577,380,877,536,361,796,468,342,641,489,356,671
06/12/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",879,544,1420,1425,1102,1843,1131,838,1527,754,528,1075,578,381,878,571,379,862
06/13/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",566,304,1054,,,,3018,1959,4650,1025,715,1469,1388,740,2606,543,295,1001
06/14/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1412,733,2723,,,,2864,2050,4001,979,597,1606,1549,782,3067,515,333,796
06/15/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1581,840,2975,927,826,1041,2774,2040,3771,1294,804,2082,1284,607,2716,544,350,846
06/16/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",826,522,1306,518,331,809,1051,737,1500,874,608,1254,533,374,759,535,336,851
06/17/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",322,243,427,460,321,660,597,419,851,601,413,874,493,383,636,310,234,410
06/18/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",701,434,1131,,,,1797,1060,3047,808,529,1235,828,492,1393,671,412,1091
06/19/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1004,567,1779,1118,926,1351,2549,1762,3688,1139,814,1595,1171,561,2442,890,435,1819
06/20/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",757,429,1333,,,,2187,1474,3246,1078,775,1499,1447,629,3329,638,388,1048
06/21/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",679,398,1159,1203,1009,1434,2284,1667,3129,975,619,1536,773,464,1288,666,388,1143
06/22/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1628,821,3228,1247,1030,1511,2865,2108,3895,1217,689,2149,1308,629,2720,335,276,407
06/23/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",763,480,1214,,,,982,658,1465,827,559,1223,559,368,851,772,380,1566
06/24/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",482,366,634,461,367,578,567,418,768,523,367,746,485,354,663,519,398,675
06/25/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",490,348,691,337,274,413,580,374,900,452,347,589,504,365,696,356,295,429
06/26/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1357,807,2283,,,,1980,1268,3092,1246,822,1889,1009,559,1818,589,389,891
06/27/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",728,351,1513,,,,2845,1894,4274,1039,645,1671,1324,681,2576,673,327,1383
06/28/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",693,382,1256,1242,1046,1476,1878,1351,2611,1130,779,1638,693,434,1108,487,290,818
06/29/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1870,1052,3322,,,,4812,3193,7252,1506,1035,2190,2074,984,4370,428,287,638
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
