Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
05/16/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,,,,3149,2237,4433,,,
05/17/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,4003,2762,5800,,,,5703,4112,7908,2798,2440,3208,3402,2543,4550,,,
05/18/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,4045,2826,5788,,,,,,,3540,2975,4213,3288,2522,4287,,,
05/19/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,2193,1867,2576,2207,1546,3148,,,
05/20/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,,,,,,,,,
05/21/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,2746,1799,4192,,,,,,,1800,1560,2076,,,,,,
05/22/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,5689,4614,7016,,,,,,,,,
05/23/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,3919,2447,6275,,,,,,,2889,2532,3297,3184,2077,4881,,,
05/24/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,3539,3127,4005,,,,,,
05/25/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,3339,2607,4278,4237,3507,5118,,,
05/26/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,2710,2291,3206,1999,1764,2264,,,
05/27/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,1905,1565,2317,,,,,,,,,,,,,,,
05/28/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,2453,1801,3342,,,,,,,2064,1705,2499,,,,,,
05/29/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,4546,3089,6691,,,,,,,,,,4426,3199,6125,,,
05/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,3027,2567,3568,,,,,,
05/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,3556,2376,5322,,,,,,,,,,,,,,,
06/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,4549,3461,5979,,,,5864,4608,7461,,,,3820,3408,4281,,,
06/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,2558,1923,3402,,,,3021,2615,3489,,,,1895,1530,2347,,,
06/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,1656,1438,1907,,,,,,,,,,1582,1466,1706,,,
06/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,,,,,,,,,
06/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,5696,4975,6521,,,,,,,,,
06/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,4528,3050,6723,,,,6834,5542,8426,3885,3238,4661,3544,2395,5244,,,
06/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,3425,2389,4910,,,,5157,4440,5989,2850,2380,3413,,,,,,
06/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,3585,2706,4749,,,,3889,2803,5397,,,,,,
06/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,2874,2347,3518,,,,,,,,,
06/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,1938,1469,2556,,,,,,,,,,,,,,,
06/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,,,,,,,,,
06/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,3908,2708,5641,,,,,,,2786,2098,3700,,,,,,
06/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,4630,3231,6636,,,,5467,4375,6830,3947,3009,5178,4525,3021,6777,,,
06/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,5736,3804,8651,,,,7761,5987,10061,5321,3786,7479,,,,,,
06/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,8174,7289,9166,4839,3592,6518,,,,,,
06/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,2722,1938,3825,,,,3484,2994,4053,2966,2504,3513,1929,1505,2472,,,
06/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,1769,1423,2198,,,,,,,,,,1638,1374,1953,,,
06/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,4793,2835,8103,,,,,,,,,,5594,3312,9447,,,
06/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,4577,3281,6383,,,,5296,4643,6041,4652,3118,6942,3823,2797,5225,2167,1611,2913
06/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,4658,3214,6751,,,,6850,4939,9500,3660,2921,4586,4264,3196,5689,,,
