Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
05/11/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",210,139,319,242,206,285,495,330,743,389,260,582,369,216,632,208,136,318
05/12/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",411,222,759,292,209,409,283,201,398,668,380,1175,277,165,465,233,142,383
05/13/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",228,148,352,151,144,158,205,150,279,239,154,370,234,142,385,222,131,375
05/14/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",283,172,466,426,243,746,428,233,785,260,171,396,195,145,264,272,148,500
05/15/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",217,123,382,308,269,353,297,205,430,394,202,769,281,171,463,208,119,365
05/16/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",294,178,484,488,332,718,253,161,396,314,196,504,265,163,432,195,126,303
05/17/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",291,177,477,373,307,453,272,179,411,364,213,624,208,148,293,220,144,335
05/18/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",333,200,553,361,269,484,317,200,502,400,248,646,238,154,368,175,128,239
05/19/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",181,131,250,223,157,317,206,154,274,281,179,442,242,144,405,182,129,256
05/20/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",319,164,621,206,133,319,299,162,550,322,163,634,365,178,746,195,127,300
