Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2763,1751,4358,,,,3662,2717,4938,2218,1705,2885,2515,1250,5062,,,
06/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1498,1046,2147,,,,1923,1539,2404,1498,1154,1944,1204,842,1721,1001,743,1349
06/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,1296,926,1813,1166,812,1675,1058,794,1410,,,
06/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,3007,1924,4698,1238,899,1704,2998,2114,4251,,,
06/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,3469,2537,4744,2018,1488,2737,2481,1498,4110,,,
06/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2461,1741,3480,2131,1676,2710,3260,2306,4608,1955,1538,2485,2961,2309,3797,,,
06/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2282,1525,3415,2084,1543,2815,2596,1736,3882,1648,1273,2133,,,,,,
06/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2484,1536,4018,,,,3909,2715,5629,1832,1349,2488,2054,1320,3196,,,
06/23/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1617,1035,2526,,,,1963,1399,2753,1871,1269,2759,1038,746,1444,1598,920,2777
06/24/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,,,,1054,859,1293,1647,866,3135,,,
06/25/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,1160,782,1721,1264,873,1831,,,,,,
06/26/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,3112,2275,4258,1870,1300,2690,3010,1811,5002,,,
06/27/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2244,1500,3357,,,,2846,2300,3522,1777,1287,2455,2450,1530,3925,1257,922,1712
06/28/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2478,1662,3695,,,,2980,2314,3836,1829,1411,2369,2774,1492,5155,,,
06/29/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",3566,2319,5484,,,,4853,3546,6639,2571,2000,3304,4537,3037,6778,,,
03/30/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1294,884,1893,1391,1113,1737,,,,2355,1630,3402,1367,920,2032,1189,833,1697
03/31/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1306,950,1794,,,,,,,1434,1097,1876,974,751,1264,,,
04/01/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1029,801,1323,,,,,,,919,728,1160,1154,903,1474,,,
04/02/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1243,891,1734,,,,1533,1078,2178,1075,829,1396,1495,1023,2183,,,
