Date,,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/14/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1213,750,1962,,,,4477,3573,5608,2113,1443,3094,2433,1366,4332,933,622,1400
06/15/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1110,736,1676,1900,1569,2302,4274,3608,5065,2503,1821,3441,1774,1071,2938,1110,736,1676
06/16/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",732,612,875,,,,1667,1005,2765,1548,1094,2191,1243,932,1658,733,608,884
06/17/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1009,744,1369,,,,1095,857,1399,952,762,1188,1029,718,1474,655,517,830
06/18/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",960,633,1457,,,,3515,2223,5559,1615,1217,2141,2181,1085,4384,898,601,1344
06/19/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",765,590,993,,,,4303,3277,5650,2236,1632,3063,2526,1429,4465,765,590,993
06/20/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",2661,1564,4528,,,,3766,2742,5173,2131,1645,2762,2205,1078,4512,737,529,1027
06/21/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",830,587,1175,,,,3455,2516,4745,2247,1581,3193,1689,1035,2754,830,587,1175
06/22/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",2570,1471,4488,2319,1641,3278,4375,3735,5124,2188,1352,3539,1859,1146,3016,702,561,878
06/23/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1296,899,1867,,,,1570,1130,2181,1431,1134,1805,890,675,1173,747,575,971
