Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/23/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1321,943,1851,,,,1574,1102,2248,1251,963,1624,958,715,1283,791,620,1010
06/24/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,,,,815,674,986,1007,701,1446,,,
06/25/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",944,729,1222,,,,,,,1003,755,1334,,,,,,
06/26/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",2750,2054,3681,,,,3098,2481,3867,2119,1670,2690,2732,2013,3708,811,650,1011
06/27/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",3003,1739,5185,,,,4722,3823,5831,1949,1506,2522,2339,1320,4144,,,
06/28/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,3475,2760,4376,2321,1820,2959,1660,1065,2587,,,
06/29/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",3034,1919,4798,,,,,,,2260,1602,3190,3442,2216,5347,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,800,595,1076
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
