Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
04/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,,,,1992,1642,2416,1939,1847,2034,,,
04/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",2130,1566,2895,,,,,,,,,,1844,1478,2300,,,
04/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",2167,1652,2841,,,,,,,2153,1615,2871,2449,2021,2968,,,
04/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
04/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
04/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",901,773,1051,,,,994,875,1131,804,717,901,,,,,,
04/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",1020,813,1280,,,,1221,1106,1349,1005,779,1298,961,839,1102,,,
04/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,,,,1978,1576,2483,1626,1289,2053,,,
04/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,3590,2947,4372,3360,2768,4080,2142,1732,2648,,,
04/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,4289,3535,5203,2462,1880,3224,2904,1962,4299,,,
04/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",1405,1056,1870,,,,,,,2529,2206,2898,2823,1959,4069,1405,1056,1870
04/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",1342,1152,1564,,,,4922,4108,5897,3024,2183,4189,2905,2074,4071,1342,1152,1564
04/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,,,,2695,2231,3256,,,,,,
04/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",1387,1137,1692,,,,,,,1453,1208,1748,1251,1059,1477,945,791,1129
04/23/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",2331,1894,2868,,,,2623,2253,3054,2659,2204,3208,2008,1755,2297,,,
04/24/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,4814,3778,6135,,,,3011,2418,3749,,,
04/25/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",3868,2692,5557,,,,5796,4346,7730,3078,2285,4145,3396,2866,4023,,,
04/26/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",3017,2298,3960,,,,3727,2730,5090,2667,2167,3283,3012,2370,3828,,,
04/27/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",1659,1290,2132,,,,,,,1812,1491,2202,1462,1236,1729,,,
04/28/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",1808,1337,2446,,,,,,,2187,1779,2688,1536,1170,2015,,,
04/29/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",1159,968,1388,,,,,,,1144,947,1383,,,,,,
04/30/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",1184,889,1575,,,,1648,1168,2325,1085,833,1413,1133,992,1295,,,
