Date,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/02/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,2252,1954,2596,1811,1521,2157,1468,1151,1872,,,
06/03/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,1453,1150,1836,1238,977,1568,1269,1041,1546,,,
06/04/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2140,1324,3459,,,,2854,1810,4500,1283,1058,1556,,,,,,
06/05/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3511,2360,5224,,,,4300,3628,5096,2348,1875,2941,4574,3262,6414,,,
06/06/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3756,2368,5958,,,,5828,4098,8290,2765,2252,3394,3030,1817,5053,,,
06/07/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,3538,2872,4357,1985,1596,2468,,,,,,
06/08/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3942,2533,6135,2472,2062,2963,5901,4306,8087,2733,2155,3467,3943,2948,5273,,,
06/09/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1741,1252,2420,,,,1901,1580,2288,1950,1524,2493,1305,873,1950,,,
06/10/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,,,,1611,1213,2140,,,,,,
06/11/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1191,943,1505,,,,,,,,,,1300,1025,1649,,,
06/12/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3043,2056,4506,,,,3834,3227,4555,2030,1531,2692,3339,2312,4823,,,
06/13/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3683,2512,5399,,,,4306,3230,5740,2424,1980,2968,3914,2645,5792,,,
06/14/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",4673,2982,7324,,,,6213,4505,8567,3533,2538,4919,3880,2584,5825,,,
06/15/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",4319,2948,6328,,,,6263,5027,7804,3427,2683,4378,4639,3005,7163,,,
06/16/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2227,1518,3268,,,,2587,2111,3170,2720,2140,3456,1508,1104,2060,,,
06/17/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1527,1064,2192,,,,1725,1274,2336,1498,1040,2157,1535,1064,2213,,,
06/18/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,6169,4958,7674,1996,1476,2700,,,,,,
