Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
05/16/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",583,426,798,,,,848,577,1248,748,422,1324,973,461,2055,527,382,726
05/17/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",633,390,1027,616,581,653,751,479,1177,641,376,1093,569,352,919,504,349,727
05/18/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",492,342,708,,,,823,592,1145,506,440,581,881,517,1501,492,342,708
05/19/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",486,358,659,,,,781,429,1419,678,488,941,616,522,726,477,351,648
05/20/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",512,335,784,,,,518,314,856,517,330,810,506,353,726,434,319,589
05/21/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",644,422,982,,,,522,311,875,657,442,976,697,479,1016,482,457,509
05/22/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",571,419,778,,,,677,403,1137,547,413,723,746,529,1053,571,419,778
05/23/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",962,496,1863,,,,993,436,2258,636,470,861,1093,535,2236,424,295,609
05/24/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",743,442,1250,,,,653,347,1229,671,442,1020,792,464,1353,495,441,556
05/25/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",1084,601,1953,859,511,1442,1141,704,1851,1112,639,1935,1144,546,2396,524,401,684
